Num Iter Till Convergence,Loss,_wandb,Runtime,_timestamp,Adjusted Rand Score,Num Initial Clusters,Num Inferred Clusters,Adjusted Mutual Info Score,_step,_runtime,Rand Score,Normalized Mutual Info Score,n_samples,n_clusters,n_features,repeat_idx,init_method,max_distance_param,likelihood_cov_prefactor,centroids_prior_cov_prefactor,State,Sweep,run_name,cov_prefactor_ratio
2.0,5540.411441177597,{'runtime': 8},5.3570629600435495,1641343100.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,7.0,0.959965965965966,0.6341075970488453,1000,25,10,1,dp-means++,500.0,50.0,10,finished,1s4yi7j8,wild-sweep-1024,0.2
2.0,10559.372930266509,{'runtime': 10},6.8257301189005375,1641343098.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,9.0,0.9603443443443443,0.6347314222301335,1000,25,10,0,dp-means++,500.0,50.0,10,finished,1s4yi7j8,solar-sweep-1023,0.2
2.0,919.9789875229172,{'runtime': 8},5.421222088858485,1641343095.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,8.0,0.959965965965966,0.6341075970488453,1000,25,3,1,dp-means++,500.0,50.0,10,finished,1s4yi7j8,zesty-sweep-1022,0.2
2.0,916.9605050685508,{'runtime': 9},5.918205188587308,1641343093.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,8.0,0.9603443443443443,0.6347314222301335,1000,25,3,0,dp-means++,500.0,50.0,10,finished,1s4yi7j8,golden-sweep-1021,0.2
2.0,11483.889360716496,{'runtime': 9},6.608154743909836,1641343089.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,8.0,0.8004424424424424,0.3777566775780946,1000,5,10,1,dp-means++,500.0,50.0,10,finished,1s4yi7j8,polar-sweep-1020,0.2
2.0,12381.20539630162,{'runtime': 8},5.572346907109022,1641343088.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,7.0,0.8002042042042042,0.37764897361046734,1000,5,10,0,dp-means++,500.0,50.0,10,finished,1s4yi7j8,dainty-sweep-1019,0.2
2.0,4228.398936744417,{'runtime': 8},4.721033273264766,1641343085.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,7.0,0.8002042042042042,0.37764897361046734,1000,5,3,0,dp-means++,500.0,50.0,10,finished,1s4yi7j8,swept-sweep-1017,0.2
2.0,10559.372930266509,{'runtime': 9},5.97402315819636,1641343086.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,8.0,0.9603443443443443,0.6347314222301335,1000,25,10,0,dp-means++,100.0,50.0,10,finished,1s4yi7j8,gallant-sweep-1015,0.2
2.0,919.9789875229172,{'runtime': 9},5.887243693694472,1641343085.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,8.0,0.959965965965966,0.6341075970488453,1000,25,3,1,dp-means++,100.0,50.0,10,finished,1s4yi7j8,denim-sweep-1014,0.2
2.0,5540.411441177597,{'runtime': 10},6.707991493865848,1641343085.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,8.0,0.959965965965966,0.6341075970488453,1000,25,10,1,dp-means++,100.0,50.0,10,finished,1s4yi7j8,fragrant-sweep-1016,0.2
2.0,11483.889360716496,{'runtime': 9},5.9184855204075575,1641343080.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,7.0,0.8004424424424424,0.3777566775780946,1000,5,10,1,dp-means++,100.0,50.0,10,finished,1s4yi7j8,wandering-sweep-1012,0.2
2.0,916.9605050685508,{'runtime': 7},4.8969741221517324,1641343081.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,7.0,0.9603443443443443,0.6347314222301335,1000,25,3,0,dp-means++,100.0,50.0,10,finished,1s4yi7j8,quiet-sweep-1013,0.2
2.0,12381.20539630162,{'runtime': 10},7.061247607693076,1641343077.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,8.0,0.8002042042042042,0.37764897361046734,1000,5,10,0,dp-means++,100.0,50.0,10,finished,1s4yi7j8,crimson-sweep-1011,0.2
