,Initialization,lambda,Repeat,Num Obs,Obs Dim,centroids_prior_cov_prefactor,likelihood_cov_prefactor,Num True Clusters,Runtime,Num Iter Till Convergence,Num Initial Clusters,Num Inferred Clusters,Loss,Rand Score,Adjusted Rand Score,Adjusted Mutual Info Score,Normalized Mutual Info Score
0,dp-means,0.001,0,1000,13,10.0,1.0,10,0.3979580160230398,2,1000,1000,13322.275626935698,0.9002782782782783,0.0,8.569297922535536e-13,0.499518308537575
1,dp-means,0.001995262314968879,0,1000,13,10.0,1.0,10,0.39488138630986214,2,1000,1000,13322.275626935698,0.9002782782782783,0.0,8.569297922535536e-13,0.499518308537575
2,dp-means,0.003981071705534973,0,1000,13,10.0,1.0,10,0.39356658421456814,2,1000,1000,13322.275626935698,0.9002782782782783,0.0,8.569297922535536e-13,0.499518308537575
3,dp-means,0.007943282347242814,0,1000,13,10.0,1.0,10,0.39245876111090183,2,1000,1000,13322.275626935698,0.9002782782782783,0.0,8.569297922535536e-13,0.499518308537575
4,dp-means,0.015848931924611134,0,1000,13,10.0,1.0,10,0.3909375574439764,2,1000,1000,13322.275626935698,0.9002782782782783,0.0,8.569297922535536e-13,0.499518308537575
5,dp-means,0.03162277660168379,0,1000,13,10.0,1.0,10,0.3979395981878042,2,1000,1000,13322.275626935698,0.9002782782782783,0.0,8.569297922535536e-13,0.499518308537575
6,dp-means,0.0630957344480193,0,1000,13,10.0,1.0,10,0.39448827877640724,2,1000,1000,13322.275626935698,0.9002782782782783,0.0,8.569297922535536e-13,0.499518308537575
7,dp-means,0.12589254117941676,0,1000,13,10.0,1.0,10,0.39395946078002453,2,1000,1000,13322.275626935698,0.9002782782782783,0.0,8.569297922535536e-13,0.499518308537575
8,dp-means,0.25118864315095796,0,1000,13,10.0,1.0,10,0.393934378400445,2,1000,1000,13322.275626935698,0.9002782782782783,0.0,8.569297922535536e-13,0.499518308537575
9,dp-means,0.501187233627272,0,1000,13,10.0,1.0,10,0.39400238171219826,2,1000,1000,13322.275626935698,0.9002782782782783,0.0,8.569297922535536e-13,0.499518308537575
10,dp-means,1.0,0,1000,13,10.0,1.0,10,0.39188991859555244,2,1000,1000,13322.275626935698,0.9002782782782783,0.0,8.569297922535536e-13,0.499518308537575
