Adjusted Rand Score,Num Initial Clusters,_step,_runtime,_timestamp,Rand Score,Num Inferred Clusters,Num Iter Till Convergence,Adjusted Mutual Info Score,Normalized Mutual Info Score,Loss,_wandb,Runtime,n_samples,n_clusters,n_features,repeat_idx,init_method,max_distance_param,likelihood_cov_prefactor,centroids_prior_cov_prefactor,State,Sweep,run_name,cov_prefactor_ratio
0.0,1.0,0.0,2.0,1641336300.0,0.04003403403403403,1.0,2.0,-6.591644296403819e-17,0.0,606337.4077615007,{'runtime': 3},0.06941840425133705,1000,25,10,1,dp-means++,500.0,50.0,10,finished,9h6ic3hn,jumping-sweep-1024,0.2
0.0,1.0,0.0,2.0,1641336298.0,0.03965565565565565,1.0,2.0,-3.374047563088763e-17,0.0,606702.391761535,{'runtime': 3},0.11823028698563576,1000,25,10,0,dp-means++,500.0,50.0,10,finished,9h6ic3hn,woven-sweep-1023,0.2
0.0,1.0,0.0,2.0,1641336299.0,0.03965565565565565,1.0,2.0,-3.374047563088763e-17,0.0,170858.9987149644,{'runtime': 2},0.06550068967044353,1000,25,3,0,dp-means++,500.0,50.0,10,finished,9h6ic3hn,genial-sweep-1021,0.2
0.0,1.0,0.0,1.0,1641336296.0,0.04003403403403403,1.0,2.0,-6.591644296403819e-17,0.0,183747.90782477648,{'runtime': 3},0.05603295750916004,1000,25,3,1,dp-means++,500.0,50.0,10,finished,9h6ic3hn,stellar-sweep-1022,0.2
0.0,1.0,0.0,2.0,1641336294.0,0.19955755755755755,1.0,2.0,-2.054045494103695e-16,0.0,597037.4642470181,{'runtime': 3},0.05898294225335121,1000,5,10,1,dp-means++,500.0,50.0,10,finished,9h6ic3hn,driven-sweep-1020,0.2
0.0,1.0,0.0,1.0,1641336288.0,0.1997957957957958,1.0,2.0,4.617703779927493e-16,0.0,562310.862834787,{'runtime': 3},0.05695539154112339,1000,5,10,0,dp-means++,500.0,50.0,10,finished,9h6ic3hn,solar-sweep-1019,0.2
0.0,1.0,0.0,2.0,1641336288.0,0.19955755755755755,1.0,2.0,-2.054045494103695e-16,0.0,173988.49935062535,{'runtime': 3},0.06331023946404457,1000,5,3,1,dp-means++,500.0,50.0,10,finished,9h6ic3hn,curious-sweep-1018,0.2
0.0,1.0,0.0,1.0,1641336288.0,0.1997957957957958,1.0,2.0,4.617703779927493e-16,0.0,172121.38803648422,{'runtime': 3},0.053491173312067986,1000,5,3,0,dp-means++,500.0,50.0,10,finished,9h6ic3hn,swept-sweep-1017,0.2
0.0,1.0,0.0,1.0,1641336285.0,0.04003403403403403,1.0,2.0,-6.591644296403819e-17,0.0,606337.4077615007,{'runtime': 3},0.07122421450912952,1000,25,10,1,dp-means++,100.0,50.0,10,finished,9h6ic3hn,glorious-sweep-1016,0.2
0.0,1.0,0.0,1.0,1641336285.0,0.04003403403403403,1.0,2.0,-6.591644296403819e-17,0.0,183747.90782477648,{'runtime': 3},0.06389625370502472,1000,25,3,1,dp-means++,100.0,50.0,10,finished,9h6ic3hn,major-sweep-1014,0.2
0.0,1.0,0.0,2.0,1641336285.0,0.03965565565565565,1.0,2.0,-3.374047563088763e-17,0.0,606702.391761535,{'runtime': 3},0.07188974414020777,1000,25,10,0,dp-means++,100.0,50.0,10,finished,9h6ic3hn,chocolate-sweep-1015,0.2
0.0,1.0,0.0,2.0,1641336285.0,0.03965565565565565,1.0,2.0,-3.374047563088763e-17,0.0,170858.9987149644,{'runtime': 3},0.07000580430030823,1000,25,3,0,dp-means++,100.0,50.0,10,finished,9h6ic3hn,wild-sweep-1013,0.2
0.0,1.0,0.0,2.0,1641336285.0,0.19955755755755755,1.0,2.0,-2.054045494103695e-16,0.0,597037.4642470181,{'runtime': 3},0.07365778088569641,1000,5,10,1,dp-means++,100.0,50.0,10,finished,9h6ic3hn,cerulean-sweep-1012,0.2
0.0,1.0,0.0,2.0,1641336282.0,0.1997957957957958,1.0,2.0,4.617703779927493e-16,0.0,562310.862834787,{'runtime': 3},0.11701518669724464,1000,5,10,0,dp-means++,100.0,50.0,10,finished,9h6ic3hn,crisp-sweep-1011,0.2
0.0,1.0,0.0,2.0,1641336281.0,0.19955755755755755,1.0,2.0,-2.054045494103695e-16,0.0,173988.49935062535,{'runtime': 3},0.06490953639149666,1000,5,3,1,dp-means++,100.0,50.0,10,finished,9h6ic3hn,silvery-sweep-1010,0.2
0.0,1.0,0.0,1.0,1641336278.0,0.1997957957957958,1.0,2.0,4.617703779927493e-16,0.0,172121.38803648422,{'runtime': 3},0.06304225511848927,1000,5,3,0,dp-means++,100.0,50.0,10,finished,9h6ic3hn,rural-sweep-1009,0.2
0.02485216535606908,3.0,0.0,3.0,1641336278.0,0.6606966966966967,3.0,25.0,0.07831906583567935,0.08879764975097475,526743.7693826384,{'runtime': 3},0.7326395865529776,1000,25,10,1,dp-means++,50.0,50.0,10,finished,9h6ic3hn,solar-sweep-1008,0.2
0.024577512854158993,3.0,0.0,2.0,1641336274.0,0.6624904904904905,3.0,22.0,0.07218420139274458,0.08271037601023006,524136.4081902697,{'runtime': 3},0.5507023241370916,1000,25,10,0,dp-means++,50.0,50.0,10,finished,9h6ic3hn,devoted-sweep-1007,0.2
0.0,1.0,0.0,2.0,1641336272.0,0.04003403403403403,1.0,2.0,-6.591644296403819e-17,0.0,183747.90782477648,{'runtime': 3},0.06186814419925213,1000,25,3,1,dp-means++,50.0,50.0,10,finished,9h6ic3hn,warm-sweep-1006,0.2
0.0,1.0,0.0,2.0,1641336270.0,0.03965565565565565,1.0,2.0,-3.374047563088763e-17,0.0,170858.9987149644,{'runtime': 3},0.057901520282030106,1000,25,3,0,dp-means++,50.0,50.0,10,finished,9h6ic3hn,olive-sweep-1005,0.2
0.16377123615566366,2.0,0.0,2.0,1641336270.0,0.58193993993994,2.0,17.0,0.19639073241340135,0.197791750767992,531597.4449275723,{'runtime': 3},0.550269115716219,1000,5,10,1,dp-means++,50.0,50.0,10,finished,9h6ic3hn,confused-sweep-1004,0.2
0.13539413784623963,3.0,0.0,4.0,1641336270.0,0.653963963963964,3.0,29.0,0.14976238622075214,0.1522873286982479,480331.8167575574,{'runtime': 5},2.069057736545801,1000,5,10,0,dp-means++,50.0,50.0,10,finished,9h6ic3hn,stoic-sweep-1003,0.2
