Num Initial Clusters,Num Inferred Clusters,Loss,_step,_wandb,_runtime,_timestamp,Adjusted Rand Score,Num Iter Till Convergence,Adjusted Mutual Info Score,Normalized Mutual Info Score,Runtime,Rand Score,n_samples,n_clusters,n_features,repeat_idx,init_method,max_distance_param,likelihood_cov_prefactor,centroids_prior_cov_prefactor,State,Sweep,run_name
1.0,1.0,1727621.225152454,0.0,{'runtime': 3},2.0,1641330772.0,0.0,2.0,-6.591644296403819e-17,0.0,0.07018170692026615,0.04003403403403403,1000,25,29,1,dp-means++,500.0,50.0,10,finished,cngchcwr,vague-sweep-1024
1.0,1.0,413086.2979945051,0.0,{'runtime': 3},1.0,1641330766.0,0.0,2.0,-3.374047563088763e-17,0.0,0.05193153023719787,0.03965565565565565,1000,25,7,0,dp-means++,500.0,50.0,10,finished,cngchcwr,wise-sweep-1021
1.0,1.0,1747120.4525056423,0.0,{'runtime': 3},3.0,1641330773.0,0.0,2.0,-3.374047563088763e-17,0.0,0.10153329372406006,0.03965565565565565,1000,25,29,0,dp-means++,500.0,50.0,10,finished,cngchcwr,summer-sweep-1023
1.0,1.0,416089.98091217154,0.0,{'runtime': 3},1.0,1641330767.0,0.0,2.0,-6.591644296403819e-17,0.0,0.06542356871068478,0.04003403403403403,1000,25,7,1,dp-means++,500.0,50.0,10,finished,cngchcwr,restful-sweep-1022
1.0,1.0,1717310.669340521,0.0,{'runtime': 3},2.0,1641330766.0,0.0,2.0,-2.054045494103695e-16,0.0,0.058028400875627995,0.19955755755755755,1000,5,29,1,dp-means++,500.0,50.0,10,finished,cngchcwr,copper-sweep-1020
1.0,1.0,1720042.8057842543,0.0,{'runtime': 3},2.0,1641330764.0,0.0,2.0,4.617703779927493e-16,0.0,0.0669249352067709,0.1997957957957958,1000,5,29,0,dp-means++,500.0,50.0,10,finished,cngchcwr,autumn-sweep-1019
1.0,1.0,403281.0809485883,0.0,{'runtime': 3},1.0,1641330763.0,0.0,2.0,-2.054045494103695e-16,0.0,0.058400388807058334,0.19955755755755755,1000,5,7,1,dp-means++,500.0,50.0,10,finished,cngchcwr,spring-sweep-1018
1.0,1.0,394111.86334535736,0.0,{'runtime': 3},1.0,1641330761.0,0.0,2.0,4.617703779927493e-16,0.0,0.062107231467962265,0.1997957957957958,1000,5,7,0,dp-means++,500.0,50.0,10,finished,cngchcwr,ancient-sweep-1017
1.0,1.0,1727621.225152454,0.0,{'runtime': 3},2.0,1641330762.0,0.0,2.0,-6.591644296403819e-17,0.0,0.0880920197814703,0.04003403403403403,1000,25,29,1,dp-means++,100.0,50.0,10,finished,cngchcwr,lilac-sweep-1016
1.0,1.0,1747120.4525056423,0.0,{'runtime': 3},1.0,1641330759.0,0.0,2.0,-3.374047563088763e-17,0.0,0.09645100869238377,0.03965565565565565,1000,25,29,0,dp-means++,100.0,50.0,10,finished,cngchcwr,serene-sweep-1015
1.0,1.0,416089.98091217154,0.0,{'runtime': 3},1.0,1641330756.0,0.0,2.0,-6.591644296403819e-17,0.0,0.06764957495033741,0.04003403403403403,1000,25,7,1,dp-means++,100.0,50.0,10,finished,cngchcwr,noble-sweep-1014
1.0,1.0,413086.2979945051,0.0,{'runtime': 2},1.0,1641330753.0,0.0,2.0,-3.374047563088763e-17,0.0,0.056291155982762575,0.03965565565565565,1000,25,7,0,dp-means++,100.0,50.0,10,finished,cngchcwr,devoted-sweep-1013
1.0,1.0,1717310.669340521,0.0,{'runtime': 3},2.0,1641330754.0,0.0,2.0,-2.054045494103695e-16,0.0,0.09109482541680336,0.19955755755755755,1000,5,29,1,dp-means++,100.0,50.0,10,finished,cngchcwr,rural-sweep-1012
1.0,1.0,1720042.8057842543,0.0,{'runtime': 3},1.0,1641330752.0,0.0,2.0,4.617703779927493e-16,0.0,0.07107396796345711,0.1997957957957958,1000,5,29,0,dp-means++,100.0,50.0,10,finished,cngchcwr,stilted-sweep-1011
1.0,1.0,403281.0809485883,0.0,{'runtime': 3},1.0,1641330751.0,0.0,2.0,-2.054045494103695e-16,0.0,0.06771397590637207,0.19955755755755755,1000,5,7,1,dp-means++,100.0,50.0,10,finished,cngchcwr,scarlet-sweep-1010
1.0,1.0,394111.86334535736,0.0,{'runtime': 3},1.0,1641330748.0,0.0,2.0,4.617703779927493e-16,0.0,0.06623691506683826,0.1997957957957958,1000,5,7,0,dp-means++,100.0,50.0,10,finished,cngchcwr,effortless-sweep-1009
133.0,133.0,1011429.7193095384,0.0,{'runtime': 4},3.0,1641330749.0,0.061905184089394896,11.0,0.184157139782828,0.42989001171857866,0.7319317907094955,0.9530870870870872,1000,25,29,1,dp-means++,50.0,50.0,10,finished,cngchcwr,rose-sweep-1008
131.0,131.0,1026961.2131529854,0.0,{'runtime': 4},2.0,1641330746.0,0.05359455494631349,11.0,0.17230082194319565,0.4186554253117405,0.6575615927577019,0.9523763763763764,1000,25,29,0,dp-means++,50.0,50.0,10,finished,cngchcwr,prime-sweep-1007
2.0,2.0,370380.6991368183,0.0,{'runtime': 3},2.0,1641330744.0,0.011783418741572852,19.0,0.03889744328251121,0.04489340146104183,0.600838603451848,0.5063303303303304,1000,25,7,1,dp-means++,50.0,50.0,10,finished,cngchcwr,laced-sweep-1006
1.0,1.0,413086.2979945051,0.0,{'runtime': 3},2.0,1641330741.0,0.0,2.0,-3.374047563088763e-17,0.0,0.04786182940006256,0.03965565565565565,1000,25,7,0,dp-means++,50.0,50.0,10,finished,cngchcwr,sage-sweep-1005
98.0,98.0,1070430.124550983,0.0,{'runtime': 3},2.0,1641330738.0,0.061268724736237415,13.0,0.2853505555697406,0.33726018766704924,0.49908547103405,0.8039319319319319,1000,5,29,1,dp-means++,50.0,50.0,10,finished,cngchcwr,dutiful-sweep-1004
105.0,105.0,1055281.6980135508,0.0,{'runtime': 3},2.0,1641330742.0,0.04581140455471027,9.0,0.2434452779096872,0.30207548127481854,0.5185209177434444,0.8016656656656657,1000,5,29,0,dp-means++,50.0,50.0,10,finished,cngchcwr,likely-sweep-1003
1.0,1.0,403281.0809485883,0.0,{'runtime': 3},2.0,1641330737.0,0.0,2.0,-2.054045494103695e-16,0.0,0.07018297724425793,0.19955755755755755,1000,5,7,1,dp-means++,50.0,50.0,10,finished,cngchcwr,leafy-sweep-1002
1.0,1.0,394111.86334535736,0.0,{'runtime': 3},2.0,1641330736.0,0.0,2.0,4.617703779927493e-16,0.0,0.052113065496087074,0.1997957957957958,1000,5,7,0,dp-means++,50.0,50.0,10,finished,cngchcwr,crisp-sweep-1001
1000.0,1000.0,11753.79571415702,0.0,{'runtime': 15},14.0,1641330745.0,0.0,2.0,1.7624996650085032e-12,0.6341075970488453,12.553078673779964,0.959965965965966,1000,25,29,1,dp-means++,10.0,50.0,10,finished,cngchcwr,devoted-sweep-1000
1000.0,1000.0,12060.73096853471,0.0,{'runtime': 14},14.0,1641330741.0,0.0,2.0,1.819489963208398e-12,0.6347314222301335,11.622275455389172,0.9603443443443443,1000,25,29,0,dp-means++,10.0,50.0,10,finished,cngchcwr,radiant-sweep-999
584.0,585.0,19397.07021108164,0.0,{'runtime': 5},4.0,1641330730.0,0.00245383921947798,5.0,0.014645005773580253,0.5431246736066917,2.435317410156131,0.9585705705705706,1000,25,7,1,dp-means++,10.0,50.0,10,finished,cngchcwr,eager-sweep-998
569.0,571.0,23348.373139127343,0.0,{'runtime': 5},4.0,1641330727.0,0.00329260934142974,6.0,0.019021058419261584,0.5424458340940366,2.125752391293645,0.958984984984985,1000,25,7,0,dp-means++,10.0,50.0,10,finished,cngchcwr,ethereal-sweep-997
1000.0,1000.0,70661.47232225421,0.0,{'runtime': 15},14.0,1641330732.0,0.0,2.0,6.782282883098306e-13,0.37764897361046734,12.543974414467812,0.8002042042042042,1000,5,29,0,dp-means++,10.0,50.0,10,finished,cngchcwr,clean-sweep-995
1000.0,1000.0,52116.205077915656,0.0,{'runtime': 12},11.0,1641330730.0,0.0,2.0,4.66027910666101e-13,0.3777566775780946,9.332961492240427,0.8004424424424424,1000,5,29,1,dp-means++,10.0,50.0,10,finished,cngchcwr,dashing-sweep-996
558.0,558.0,23798.869997632886,0.0,{'runtime': 5},3.0,1641330719.0,0.002163354253967896,3.0,0.034904645003449135,0.2937553151291081,1.8671218864619732,0.7998358358358358,1000,5,7,1,dp-means++,10.0,50.0,10,finished,cngchcwr,golden-sweep-994
522.0,523.0,37812.121100282566,0.0,{'runtime': 5},3.0,1641330719.0,0.0013827270286460272,4.0,0.024456782411449697,0.276039401883687,1.8612548038363457,0.7993233233233233,1000,5,7,0,dp-means++,10.0,50.0,10,finished,cngchcwr,different-sweep-993
1000.0,1000.0,11753.79571415702,0.0,{'runtime': 16},15.0,1641330724.0,0.0,2.0,1.7624996650085032e-12,0.6341075970488453,13.30693356692791,0.959965965965966,1000,25,29,1,dp-means++,5.0,50.0,10,finished,cngchcwr,devout-sweep-992
1000.0,1000.0,12060.73096853471,0.0,{'runtime': 16},15.0,1641330723.0,0.0,2.0,1.819489963208398e-12,0.6347314222301335,13.32510494068265,0.9603443443443443,1000,25,29,0,dp-means++,5.0,50.0,10,finished,cngchcwr,flowing-sweep-991
988.0,988.0,1129.5500300177828,0.0,{'runtime': 8},7.0,1641330713.0,5.1938282090961704e-05,2.0,0.00038766051467486345,0.6321319831863954,5.626648946199566,0.959945945945946,1000,25,7,1,dp-means++,5.0,50.0,10,finished,cngchcwr,resilient-sweep-990
984.0,984.0,5344.338147151084,0.0,{'runtime': 7},6.0,1641330712.0,-6.401645564193203e-05,2.0,-0.0004733218639692199,0.6317322757480683,4.592347731813788,0.9603123123123124,1000,25,7,0,dp-means++,5.0,50.0,10,finished,cngchcwr,fluent-sweep-989
1000.0,1000.0,52116.205077915656,0.0,{'runtime': 15},15.0,1641330723.0,0.0,2.0,4.66027910666101e-13,0.3777566775780946,12.31610408052802,0.8004424424424424,1000,5,29,1,dp-means++,5.0,50.0,10,finished,cngchcwr,decent-sweep-988
1000.0,1000.0,70661.47232225421,0.0,{'runtime': 17},15.0,1641330713.0,0.0,2.0,6.782282883098306e-13,0.37764897361046734,14.00335349701345,0.8002042042042042,1000,5,29,0,dp-means++,5.0,50.0,10,finished,cngchcwr,fresh-sweep-987
985.0,985.0,5418.614523400073,0.0,{'runtime': 8},7.0,1641330704.0,4.025833338930877e-05,2.0,0.0010474183550153596,0.3754177163352091,5.170706192031503,0.8004324324324325,1000,5,7,1,dp-means++,5.0,50.0,10,finished,cngchcwr,pretty-sweep-986
982.0,982.0,18609.62060016657,0.0,{'runtime': 7},7.0,1641330706.0,8.423814897286188e-05,2.0,0.001881235444041167,0.375190004231476,4.29903375916183,0.8001981981981982,1000,5,7,0,dp-means++,5.0,50.0,10,finished,cngchcwr,cosmic-sweep-985
1000.0,1000.0,11753.79571415702,0.0,{'runtime': 17},16.0,1641330706.0,0.0,2.0,1.7624996650085032e-12,0.6341075970488453,14.009359734132886,0.959965965965966,1000,25,29,1,dp-means++,1.0,50.0,10,finished,cngchcwr,whole-sweep-984
1000.0,1000.0,12060.73096853471,0.0,{'runtime': 14},13.0,1641330703.0,0.0,2.0,1.819489963208398e-12,0.6347314222301335,11.294733559712768,0.9603443443443443,1000,25,29,0,dp-means++,1.0,50.0,10,finished,cngchcwr,clear-sweep-983
1000.0,1000.0,1001.45713150864,0.0,{'runtime': 9},8.0,1641330696.0,0.0,2.0,1.7624996650085032e-12,0.6341075970488453,6.208662422373891,0.959965965965966,1000,25,7,1,dp-means++,1.0,50.0,10,finished,cngchcwr,curious-sweep-982
1000.0,1000.0,5199.903806800192,0.0,{'runtime': 8},7.0,1641330694.0,0.0,2.0,1.819489963208398e-12,0.6347314222301335,5.2668171133846045,0.9603443443443443,1000,25,7,0,dp-means++,1.0,50.0,10,finished,cngchcwr,stilted-sweep-981
1000.0,1000.0,70661.47232225421,0.0,{'runtime': 15},14.0,1641330693.0,0.0,2.0,6.782282883098306e-13,0.37764897361046734,12.007190642878411,0.8002042042042042,1000,5,29,0,dp-means++,1.0,50.0,10,finished,cngchcwr,distinctive-sweep-979
1000.0,1000.0,52116.205077915656,0.0,{'runtime': 14},13.0,1641330694.0,0.0,2.0,4.66027910666101e-13,0.3777566775780946,11.240498221945018,0.8004424424424424,1000,5,29,1,dp-means++,1.0,50.0,10,finished,cngchcwr,ruby-sweep-980
