"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","centroids_prior_cov_prefactor","init_method","likelihood_cov_prefactor","max_distance_param","n_clusters","n_features","n_samples","repeat_idx","Adjusted Mutual Info Score","Adjusted Rand Score","Loss","Normalized Mutual Info Score","Num Inferred Clusters","Num Initial Clusters","Num Iter Till Convergence","Rand Score"
"vivid-sweep-5246","2fpv2c31","running","-","rylan","","2021-12-30T20:54:22.000Z","0","cm8fwjsi","10","dp-means","1","750","20","50","100","5","","","","","","","",""
"feasible-sweep-5248","6qfsbkky","running","-","rylan","","2021-12-30T20:54:22.000Z","0","cm8fwjsi","10","dp-means","1","750","20","50","100","7","","","","","","","",""
"honest-sweep-5244","jv2bdk7n","running","-","rylan","","2021-12-30T20:54:22.000Z","0","cm8fwjsi","10","dp-means","1","750","20","50","100","3","","","","","","","",""
"effortless-sweep-5247","1tfkg2dy","running","-","rylan","","2021-12-30T20:54:22.000Z","0","cm8fwjsi","10","dp-means","1","750","20","50","100","6","","","","","","","",""
"fearless-sweep-5245","d4kzz9jw","running","-","rylan","","2021-12-30T20:54:22.000Z","0","cm8fwjsi","10","dp-means","1","750","20","50","100","4","","","","","","","",""
"vivid-sweep-5249","cpz7xs35","running","-","rylan","","2021-12-30T20:54:22.000Z","0","cm8fwjsi","10","dp-means","1","750","20","50","100","8","","","","","","","",""
"cerulean-sweep-5242","guq26bw2","running","-","rylan","","2021-12-30T20:54:18.000Z","0","cm8fwjsi","10","dp-means","1","750","20","50","100","1","","","","","","","",""
"lemon-sweep-5243","nu49pmfe","running","-","rylan","","2021-12-30T20:54:18.000Z","0","cm8fwjsi","10","dp-means","1","750","20","50","100","2","","","","","","","",""
"rosy-sweep-5241","y70i9fw3","finished","-","rylan","","2021-12-30T20:54:10.000Z","11","cm8fwjsi","10","dp-means","1","750","20","50","100","0","0","0","52578.13184212842","0","1","1","2","0.048484848484848485"
"electric-sweep-5240","2smx115o","finished","-","rylan","","2021-12-30T20:54:09.000Z","11","cm8fwjsi","10","dp-means","1","750","20","25","1000","9","-3.389083849697206e-17","0","272477.7222940783","0","1","1","2","0.04986586586586587"
"fanciful-sweep-5238","uqm4auwf","finished","-","rylan","","2021-12-30T20:54:08.000Z","11","cm8fwjsi","10","dp-means","1","750","20","25","1000","7","-9.340126657671728e-17","0","251966.89640076185","0","1","1","2","0.05002602602602602"
"valiant-sweep-5234","bjdl6v2a","finished","-","rylan","","2021-12-30T20:54:08.000Z","11","cm8fwjsi","10","dp-means","1","750","20","25","1000","3","8.881690788757621e-17","0","261656.54016067603","0","1","1","2","0.05063863863863864"
"divine-sweep-5237","jywcbst8","finished","-","rylan","","2021-12-30T20:54:08.000Z","11","cm8fwjsi","10","dp-means","1","750","20","25","1000","6","-8.972983607516497e-17","0","282548.41983356525","0","1","1","2","0.049677677677677674"
"zesty-sweep-5235","iltbsaev","finished","-","rylan","","2021-12-30T20:54:08.000Z","11","cm8fwjsi","10","dp-means","1","750","20","25","1000","4","-1.5648695476369288e-16","0","250401.31128233369","0","1","1","2","0.05007607607607607"
"clear-sweep-5236","bi9byswj","finished","-","rylan","","2021-12-30T20:54:08.000Z","11","cm8fwjsi","10","dp-means","1","750","20","25","1000","5","-1.5169481247145766e-16","0","272955.18173618615","0","1","1","2","0.04995195195195195"
"glorious-sweep-5239","pws48kx6","finished","-","rylan","","2021-12-30T20:54:08.000Z","11","cm8fwjsi","10","dp-means","1","750","20","25","1000","8","-1.4678792794786808e-16","0","285327.68733941216","0","1","1","2","0.04971571571571571"
"celestial-sweep-5233","cpz7xs35","finished","-","rylan","","2021-12-30T20:54:07.000Z","12","cm8fwjsi","10","dp-means","1","750","20","25","1000","2","6.842169833058117e-17","0","267715.0884089811","0","1","1","2","0.05002002002002002"
"fresh-sweep-5232","6qfsbkky","finished","-","rylan","","2021-12-30T20:54:07.000Z","11","cm8fwjsi","10","dp-means","1","750","20","25","1000","1","-1.904874784107155e-16","0","277406.84029074316","0","1","1","2","0.05024424424424424"
"eager-sweep-5228","jv2bdk7n","finished","-","rylan","","2021-12-30T20:54:06.000Z","12","cm8fwjsi","10","dp-means","1","750","20","25","100","7","0","0","26379.99010712226","0","1","1","2","0.0498989898989899"
"dauntless-sweep-5230","2fpv2c31","finished","-","rylan","","2021-12-30T20:54:06.000Z","12","cm8fwjsi","10","dp-means","1","750","20","25","100","9","0","0","26497.81184444709","0","1","1","2","0.04909090909090909"
"swept-sweep-5229","d4kzz9jw","finished","-","rylan","","2021-12-30T20:54:06.000Z","11","cm8fwjsi","10","dp-means","1","750","20","25","100","8","0","0","28275.730518628912","0","1","1","2","0.05454545454545454"
"youthful-sweep-5231","1tfkg2dy","finished","-","rylan","","2021-12-30T20:54:06.000Z","11","cm8fwjsi","10","dp-means","1","750","20","25","1000","0","-9.327478040677283e-17","0","265814.69700798637","0","1","1","2","0.04963563563563564"
"astral-sweep-5227","ahkq8qcd","running","-","rylan","","2021-12-30T20:53:57.000Z","8","cm8fwjsi","10","dp-means","1","750","20","25","100","6","0","0","22795.63225589817","0","1","1","2","0.05454545454545454"
"jumping-sweep-5226","4hw6vci9","running","-","rylan","","2021-12-30T20:53:56.000Z","10","cm8fwjsi","10","dp-means","1","750","20","25","100","5","0","0","27284.083491781923","0","1","1","2","0.04828282828282828"
"fiery-sweep-5225","cme7cjsu","running","-","rylan","","2021-12-30T20:53:55.000Z","10","cm8fwjsi","10","dp-means","1","750","20","25","100","4","0","0","27183.707119585455","0","1","1","2","0.050101010101010104"
"effortless-sweep-5223","4rwl4ayw","running","-","rylan","","2021-12-30T20:53:54.000Z","12","cm8fwjsi","10","dp-means","1","750","20","25","100","2","0","0","29025.107850739365","0","1","1","2","0.04868686868686869"
"deep-sweep-5224","y70i9fw3","finished","-","rylan","","2021-12-30T20:53:54.000Z","10","cm8fwjsi","10","dp-means","1","750","20","25","100","3","0","0","27296.27882053106","0","1","1","2","0.05191919191919192"
"wise-sweep-5222","2smx115o","finished","-","rylan","","2021-12-30T20:53:54.000Z","10","cm8fwjsi","10","dp-means","1","750","20","25","100","1","0","0","26068.93088235269","0","1","1","2","0.04727272727272727"
"sleek-sweep-5220","jywcbst8","finished","-","rylan","","2021-12-30T20:53:53.000Z","9","cm8fwjsi","10","dp-means","1","750","20","10","1000","9","-3.389083849697206e-17","0","98273.23326820503","0","1","1","2","0.04986586586586587"
"fiery-sweep-5221","uqm4auwf","finished","-","rylan","","2021-12-30T20:53:53.000Z","10","cm8fwjsi","10","dp-means","1","750","20","25","100","0","0","0","25737.57498495261","0","1","1","2","0.048484848484848485"
"divine-sweep-5218","iltbsaev","finished","-","rylan","","2021-12-30T20:53:52.000Z","11","cm8fwjsi","10","dp-means","1","750","20","10","1000","7","-9.340126657671728e-17","0","95065.53126895556","0","1","1","2","0.05002602602602602"
"sandy-sweep-5219","bi9byswj","finished","-","rylan","","2021-12-30T20:53:52.000Z","10","cm8fwjsi","10","dp-means","1","750","20","10","1000","8","-1.4678792794786808e-16","0","117681.27041272524","0","1","1","2","0.04971571571571571"
"sweepy-sweep-5216","6qfsbkky","finished","-","rylan","","2021-12-30T20:53:51.000Z","11","cm8fwjsi","10","dp-means","1","750","20","10","1000","5","-1.5169481247145766e-16","0","107116.56969000163","0","1","1","2","0.04995195195195195"
"soft-sweep-5217","cpz7xs35","finished","-","rylan","","2021-12-30T20:53:51.000Z","12","cm8fwjsi","10","dp-means","1","750","20","10","1000","6","-8.972983607516497e-17","0","110146.70903732767","0","1","1","2","0.049677677677677674"
"neat-sweep-5213","d4kzz9jw","finished","-","rylan","","2021-12-30T20:53:51.000Z","11","cm8fwjsi","10","dp-means","1","750","20","10","1000","2","6.842169833058117e-17","0","126080.1319399796","0","1","1","2","0.05002002002002002"
"deft-sweep-5214","1tfkg2dy","finished","-","rylan","","2021-12-30T20:53:51.000Z","11","cm8fwjsi","10","dp-means","1","750","20","10","1000","3","8.881690788757621e-17","0","105829.21764219052","0","1","1","2","0.05063863863863864"
"zesty-sweep-5215","2fpv2c31","finished","-","rylan","","2021-12-30T20:53:51.000Z","11","cm8fwjsi","10","dp-means","1","750","20","10","1000","4","-1.5648695476369288e-16","0","94432.41985230322","0","1","1","2","0.05007607607607607"
"lilac-sweep-5212","jv2bdk7n","finished","-","rylan","","2021-12-30T20:53:51.000Z","11","cm8fwjsi","10","dp-means","1","750","20","10","1000","1","-1.904874784107155e-16","0","120511.23050311636","0","1","1","2","0.05024424424424424"
"sandy-sweep-5211","hk1htj6j","running","-","rylan","","2021-12-30T20:53:50.000Z","31","cm8fwjsi","10","dp-means","1","750","20","10","1000","0","-9.327478040677283e-17","0","101139.81947951743","0","1","1","2","0.04963563563563564"
