"Name","State","Notes","User","Tags","Created","Runtime","Sweep","centroids_prior_cov_prefactor","init_method","likelihood_cov_prefactor","max_distance_param","n_clusters","n_features","n_samples","repeat_idx","Adjusted Mutual Info Score","Adjusted Rand Score","Loss","Normalized Mutual Info Score","Num Inferred Clusters","Num Initial Clusters","Num Iter Till Convergence","Rand Score"
"robust-sweep-25985","crashed","-","rylan","","2022-01-02T05:09:34.000Z","9","se17hzoq","1","dp-means++","100","0.005","5","10","100","4","-3.39866439196043e-14","0","838.8622995301351","0.5156647190463131","100","100","2","0.8042424242424242"
"swift-sweep-25984","finished","-","rylan","","2022-01-02T05:09:19.000Z","10","se17hzoq","1","dp-means++","100","0.005","5","10","100","3","1.6271259217722994e-14","0","1615.793922711301","0.509854480007837","100","100","2","0.7935353535353535"
"worldly-sweep-25983","finished","-","rylan","","2022-01-02T05:09:03.000Z","12","se17hzoq","1","dp-means++","100","0.005","5","10","100","2","-6.435479010123204e-14","0","1693.8462357929566","0.5148592307740096","100","100","2","0.8028282828282828"
"logical-sweep-25982","finished","-","rylan","","2022-01-02T05:08:48.000Z","10","se17hzoq","1","dp-means++","100","0.005","5","10","100","1","-4.7784829210484196e-14","0","432.0590007280516","0.5142791749975275","100","100","2","0.802020202020202"
"polar-sweep-25981","finished","-","rylan","","2022-01-02T05:08:32.000Z","13","se17hzoq","1","dp-means++","100","0.005","5","10","100","0","-3.611570665939338e-14","0","2283.7792495807216","0.5168642841412128","100","100","2","0.8062626262626262"
"twilight-sweep-25980","crashed","-","rylan","","2022-01-02T05:08:22.000Z","66","se17hzoq","1","dp-means++","100","0.005","5","2","10000","4","","","","","","","",""
"expert-sweep-25979","crashed","-","rylan","","2022-01-02T05:06:58.000Z","155","se17hzoq","1","dp-means++","100","0.005","5","2","10000","3","","","","","","","",""
"golden-sweep-25978","crashed","-","rylan","","2022-01-02T05:05:21.000Z","245","se17hzoq","1","dp-means++","100","0.005","5","2","10000","2","","","","","","","",""
"pious-sweep-25977","crashed","-","rylan","","2022-01-02T05:05:00.000Z","278","se17hzoq","1","dp-means++","100","0.005","5","2","10000","1","","","","","","","",""
"jolly-sweep-25976","crashed","-","rylan","","2022-01-02T05:04:59.000Z","276","se17hzoq","1","dp-means++","100","0.005","5","2","10000","0","","","","","","","",""
