dataset_name,init_method,max_distance_param,Runtime,Num Iter Till Convergence,Num Initial Clusters,Num Inferred Clusters,Loss,Rand Score,Adjusted Rand Score,Adjusted Mutual Info Score,Normalized Mutual Info Score
Ideal,dp-means,0.01,0.44010950811207294,2,1487,1487,2990.309319555116,0.6671229708694686,4.634521104230339e-05,0.0025777550092883745,0.2615800181308503
Ideal,dp-means++,0.01,13.159148402512074,2,1500,1500,2990.3083678742323,0.66711140760507,0.0,-7.183051073726411e-13,0.2612064055515844
Anisotropic Variance,dp-means,0.01,0.43621297739446163,2,1462,1462,318.1921870110009,0.6671460973982655,0.00013903240494034968,0.007559479772290508,0.26231243961565415
Anisotropic Variance,dp-means++,0.01,12.996962724253535,2,1500,1500,318.1921501721524,0.66711140760507,0.0,-7.183051073726411e-13,0.2612064055515844
Unequal Variance,dp-means,0.01,0.4426604565232992,2,1480,1480,4764.534459787728,0.6671291972426062,7.129987896667296e-05,0.00396439851839811,0.26178163716707664
Unequal Variance,dp-means++,0.01,13.078528229147196,2,1500,1500,4764.533476057828,0.66711140760507,0.0,-7.183051073726411e-13,0.2612064055515844
Unequal Proportions,dp-means,0.01,0.1561900358647108,2,602,602,1965.4535178180297,0.30153166976230855,3.7180127868240085e-05,0.0018645855113101218,0.15221521150313405
Unequal Proportions,dp-means++,0.01,1.1236722897738218,2,610,610,1965.4535178180297,0.3014885999623139,0.0,4.228426461216677e-14,0.15181646540581217
Ideal,dp-means,0.01373823795883263,0.44177139177918434,2,1480,1480,2990.309319555116,0.6671291972426062,7.129987896667296e-05,0.003964398518397968,0.2617816371670766
Ideal,dp-means++,0.01373823795883263,13.069543471559882,2,1500,1500,2990.3083678742323,0.66711140760507,0.0,-7.183051073726411e-13,0.2612064055515844
Anisotropic Variance,dp-means,0.01373823795883263,0.44021979719400406,2,1433,1433,318.21146975690806,0.6671745608183234,0.00025310304285985793,0.013385534058248296,0.26318743653332355
Anisotropic Variance,dp-means++,0.01373823795883263,13.092183930799365,2,1500,1500,318.1921501721524,0.66711140760507,0.0,-7.183051073726411e-13,0.2612064055515844
Unequal Variance,dp-means,0.01373823795883263,0.43972230702638626,2,1474,1474,4764.54507004904,0.6671354236157438,9.625423489890971e-05,0.005185999004680528,0.26196559565204197
Unequal Variance,dp-means++,0.01373823795883263,13.022981455549598,2,1500,1500,4764.533476057828,0.66711140760507,0.0,-7.183051073726411e-13,0.2612064055515844
Unequal Proportions,dp-means,0.01373823795883263,0.1497152205556631,2,601,601,1965.4535178180297,0.30153705348730786,4.1827771848884765e-05,0.0020979806649915355,0.15226520209121808
Unequal Proportions,dp-means++,0.01373823795883263,1.1135289147496223,2,610,610,1965.4535178180297,0.3014885999623139,0.0,4.228426461216677e-14,0.15181646540581217
Ideal,dp-means,0.018873918221350976,0.42840736359357834,2,1463,1463,2990.309319555116,0.6671443184345119,0.0001319027736028619,0.007327951592411392,0.2622725797897707
Ideal,dp-means++,0.018873918221350976,13.01116880774498,2,1500,1500,2990.3083678742323,0.66711140760507,0.0,-7.183051073726411e-13,0.2612064055515844
Anisotropic Variance,dp-means,0.018873918221350976,0.4246058017015457,2,1381,1381,318.21175530223263,0.6672234823215477,0.000449146720684616,0.023711294303927884,0.26474462409166916
Anisotropic Variance,dp-means++,0.018873918221350976,12.966966634616256,2,1500,1500,318.1921501721524,0.66711140760507,0.0,-7.183051073726411e-13,0.2612064055515844
Unequal Variance,dp-means,0.018873918221350976,0.4362854119390249,2,1450,1450,4764.54507004904,0.6671603291082944,0.00019606853882354474,0.010065677745920015,0.26270402229584827
Unequal Variance,dp-means++,0.018873918221350976,13.025522584095597,2,1500,1500,4764.533476057828,0.66711140760507,0.0,-7.183051073726411e-13,0.2612064055515844
Unequal Proportions,dp-means,0.018873918221350976,0.14941367506980896,2,595,595,1965.4535178180297,0.3015693558373038,6.971423308003974e-05,0.003499857551776267,0.15256583653430295
